category,brand,model,product,price,source_key
CPU,Intel,Core Ultra,Intel Core Ultra 5 225F,4880,cpu_intel_core_ultra_5_225f
CPU,Intel,Core Ultra,Intel Core Ultra 5 225,5280,cpu_intel_core_ultra_5_225
CPU,Intel,Core Ultra,Intel Core Ultra 5 245KF,6300,cpu_intel_core_ultra_5_245kf
CPU,Intel,Core Ultra,Intel Core Ultra 5 245K,6990,cpu_intel_core_ultra_5_245k
CPU,Intel,Core Ultra,Intel Core Ultra 7 265KF,9700,cpu_intel_core_ultra_7_265kf
CPU,Intel,Core Ultra,Intel Core Ultra 7 265K,10200,cpu_intel_core_ultra_7_265k
CPU,Intel,Core Ultra,Intel Core Ultra 9 285K,18600,cpu_intel_core_ultra_9_285k
CPU,Intel,Core Ultra,Intel Core Ultra 5 250KF Plus,8300,cpu_intel_core_ultra_5_250kf_plus
CPU,Intel,Core Ultra,Intel Core Ultra 5 250K Plus,8800,cpu_intel_core_ultra_5_250k_plus
CPU,Intel,Core Ultra,Intel Core Ultra 7 270K Plus,12500,cpu_intel_core_ultra_7_270k_plus
CPU,Intel,i3,Intel i3-14100,4200,cpu_intel_i3_14100
CPU,Intel,i5,Intel i5-14400,6950,cpu_intel_i5_14400
CPU,Intel,i7,Intel i7-14700,11500,cpu_intel_i7_14700
CPU,Intel,i5,Intel i5-12400F,4850,cpu_intel_i5_12400f
CPU,Intel,i5,Intel i5-12400,5850,cpu_intel_i5_12400
CPU,AMD,R5,AMD R5 3400G,2099,cpu_amd_r5_3400g
CPU,AMD,R5,AMD R5 5500GT,4190,cpu_amd_r5_5500gt
CPU,AMD,R5,AMD R5 5500X3D,5390,cpu_amd_r5_5500x3d
CPU,AMD,R5,AMD R5 5600GT,4690,cpu_amd_r5_5600gt
CPU,AMD,R5,AMD R5 7500F,4790,cpu_amd_r5_7500f
CPU,AMD,R7,AMD R7 7700,7190,cpu_amd_r7_7700
CPU,AMD,R7,AMD R7 7800X3D,9990,cpu_amd_r7_7800x3d
CPU,AMD,R5,AMD R5 8400F,4950,cpu_amd_r5_8400f
CPU,AMD,R5,AMD R5 8500G,5090,cpu_amd_r5_8500g
CPU,AMD,R5,AMD R5 8600G,6450,cpu_amd_r5_8600g
CPU,AMD,R7,AMD R7 8700G,9450,cpu_amd_r7_8700g
CPU,AMD,R5,AMD R5 9500F,6290,cpu_amd_r5_9500f
CPU,AMD,R5,AMD R5 9600X,7950,cpu_amd_r5_9600x
CPU,AMD,R7,AMD R7 9700X,11450,cpu_amd_r7_9700x
CPU,AMD,R7,AMD R7 9800X3D,16150,cpu_amd_r7_9800x3d
CPU,AMD,R7,AMD R7 9850X3D,17050,cpu_amd_r7_9850x3d
CPU,AMD,R9,AMD R9 9900X,14250,cpu_amd_r9_9900x
CPU,AMD,R9,AMD R9 9900X3D,20450,cpu_amd_r9_9900x3d
CPU,AMD,R9,AMD R9 9950X,19950,cpu_amd_r9_9950x
CPU,AMD,R9,AMD R9 9950X3D,23950,cpu_amd_r9_9950x3d
